제목,본문,목표가,투자의견,작성일,증권사
음식료 업종 희대의 서프라이즈,"기대치를 상회한 1분기
2024년 1분기 삼양식품의 연결 매출액은 3,857억원(+57.1% YoY, +18.1% QoQ), 영업이익은 801억원(+235.6% YoY, +121.5% QoQ)으로 종전 추정 영업이익 361억원, 컨센서스 영업이익 424억원을 큰 폭으로 상회했다. 사업부별로는 면/스낵, 소스/조미소재, 냉동 매출액이 각각 +52%, +9%, +30% YoY 성장했다. 핵심 사업부 모두 성장했지만 역시 면/스낵이 서프라이즈의 주 요인이다. 면/스낵 매출은 내수 판매가 -13% YoY 하락했지만 수요 감소보다는 공급 감소 영향으로 해석한다. 해외 매출액은 +85% YoY 성장하며 분기 매출액이 2,860억원에 달했다. 1분기가 비수기인 점을 고려하면 엄청난 성장이다. 해외 중에서도 법인이 설립된 미국, 중국 매출액이 760억원(+210% YoY), 927억원(+184% YoY)까지 성장하며 외형 성장과 손익 개선을 이끌었다.","600,000",Buy,24.05.17,한화투자증권
신한 속보; HD현대중공업,"▶ HD한국조선해양, HD현대중공업 주식 블록딜
- 5/16 장종료 후 공시를 통해 모회사 HD한국조선해양은 HD현대중공업 주식 266만 3,193주를 블록딜 예정이라고 밝힘, 처분 금액은 3,742억원 내외
- 대략 5~7%의 할인율, 단기 락업이 적용될 것으로 추정
- 블록딜은 전체 주식 8,877만주의 3.0%. HD한국조선해양의 기존 HD현대중공업 지분은 6,927만주(78.0%)로 블록딜 후 6,660만주(75.0%)로 줄어듦
- 처분 목적은 HD현대중공업 주식의 유통물량 확대 및 거래 활성화
- 기존 HD현대중공업의 유통물량은 HD한국조선해양(78.0%), 국민연금(6.4%) 지분을 제외하고 15.6%, 1,384만주 수준. ‘24년 연간 일평균 거래주식수는 15.2만주로 전체 주식의 0.2%에 불과","160,000",매수,24.05.17,신한투자증권
분기 판매량 최고치 지속 전망,"WHAT’S THE STORY?
1분기 실적, 예상치 부합: 1분기 연결 기준 실적은 매출 2,417억원, 영업이익 43억원으로 시장 예상치(매출 2,236억원, 영업이익 49억원)에 부합되는 수준으로 판단. 프리뷰에서 예상했던 것과 같이 북미 고객사향 경쟁 공급선의 품질 이슈 발생에 따른 판매 물량이 확대되면서 분기 최대 판매를 기록하였고, 매출액도 전년 동기 대비 50%가 성장하면서 분기 최고치 기록.","60,000",Buy,24.05.17,삼성증권
K-바나나맛 우유에 반하나?,"1Q24Re: 비수기가 믿기지 않는 실적
빙그레의 24년 1분기 실적은 연결 매출액 3,009억원(+2.5% YoY), 영업이익 211억원(+65% YoY, OPM 7%)으로 시장기대치(OP 132억원)를 상회했다. 빙과 비수기와 비우호적 날씨에 따른 내수 유음료 시장 부진에도 마진이 높은 수출 매출이 성장하고 판관비 효율화를 통해 수익성 개선이 두드러졌다. 1)냉장품목(별도)은 매출액 +5% YoY 성장했는데 내수는 +1.8% YoY에 그쳤고 수출이 +34% YoY 증가했다. 대부분 바나나맛 우유 수출 성장이 기여했으며 기존 중국 외에도 미국으로의 수출이 증가세인 것으로 파악된다. 2)냉동품목(별도)은 매출액 +4% YoY 성장했는데 내수는 +2.4% YoY, 수출이 +9.7% YoY 증가했다. 3) 연결/조정 실적은 내수 빙과 수요 부진에 따른 해태 실적 감소와 현지 법인들의 판매 시점 차이로 다소 부진했다.","100,000",매수,24.05.17,DS투자증권
추가적인 주가상승 가능성 열려있음,"1Q24: 기대치에 부합한 실적
LS 1Q24 실적은 매출액 5조 9,450억원(-2.5% 이하 YoY), 영업이익 2,437억원(+2.3%, OPM: 4.1%)이다. 전선은 통신부문의 부진에도 전력부문 호조로 영업이익이 21.5% 증가했으며, MnM은 공장 정기보수에도 구리가격 상승에 따른 전기동 부문 호조로 영업이익이 72.5% 증가하며 연결 영업이익 개선을 견인했다. 아이앤디는 구리가격 상승에도 미국 통신부문 투자 지연에 따라 영업이익이 63% 감소했으나, 하반기 미국에서 통신부문 투자가 본격화 될 것으로 예상됨에 따라 하반기 실적개선이 기대된다.","190,000",매수,24.05.17,SK증권
실적도 주가도 바닥을 지나는 중,"1Q24: 기대치에 부합한 실적
SK 1Q24 실적은 매출액 33.03조(1.6% 이하 YoY), 영업이익 1.54조원(+30.5%, OPM: 4.7%)이다. SK스퀘어가 영업이익 흑자전환 했으며, SK이노베이션 영업이익이 63% 증가했고. SK E&S도 여주발전소 가동 효과 및 Freeport 정상화에 따른 원가 경쟁력으로 영업이익이 95% 증가했다. 비상장사 합산 EBITDA는 17% 증가하며 점진적인 실적개선이 확인되고 있다. 반도체 웨이퍼를 생산하는 SK실트론은 매출과 EBITDA는 각각 18%, 39% 감소했는데, 1분기부터 반도체 경기 회복이 확인됨에 따라 1분기 저점으로 점진적인 실적개선이 가능할 전망이다.","240,000",매수,24.05.17,SK증권
1Q24 Re: 나이스! 소재 턴어라운드,"1Q24 Re: 나이스! 소재 턴어라운드
1분기 연결 매출 및 영업이익은 각각 1조 445억원(YoY 5.5%), 477억원(YoY 91.5%)으로 시장 기대치(451억원) 상회. 소재 이익이 전분당 및 액상 라이신 판매 호조로 YoY 156억원 증익하며 손익 개선 주도. ① 식품 부문 매출액 및 영업이익은 각각 6,122억원(YoY 5.8%), 240억원(YoY 16.3%) 시현. 명절 선물세트 판매 호조 및 신규 채널 확대(군급식 경로)로 견조한 실적 흐름 시현한 것으로 파악. 제품 할인률 개선도 주효 했음. ② 소재 부문 매출액 및 영업이익은 각각 2,511억원(YoY 5.2%), 91억원(YoY 239.8%)으로 흑자 전환 성공 고무적. 전분당은 견조한 마진 스프레드에 힘입어 1분기 OPM high-single 시현 추산. 원재료 투입 단가 하락과 더불어 스페셜티 매출 비중 확대 긍정적. 바이오 부문은 스페셜티 ASP 상승과 유럽향 액상 라이신 판매 호조 긍정적. 또한 군산 공장(BIO 공장) 통합 운영을 통한 유틸리티 비용 절감으로 적자 폭 축소. 3월 중순부터 라이신 스팟 가격 반등세를 감안시 하반기 갈수록 바이오 부문 회복 기대. ③ PT인도네시아는 직전 분기에 이어 1분기도 견조한 옥수수-전분당 이익 스프레드 유지. 이익 94억원(YoY +63억원, OPM 11.3%) 시현. ④ 미원베트남은 현지 경기 회복은 지연되고 있으나, 전년과 유사한 실적 시현. ⑤ 글로벌 식품 매출은 2,3189억원(YoY 19.1%)으로 실적 호조. 미국 +35%, 인도네시아 +18%, 베트남 +13% 증가. GKC(김치, 소스, 편의식, 김) 제품 위주 성장. 특히, 23년 인수한 럭키푸드를 통해 美 메인스트림 입점 확대해 나가고 있는 것으로 파악.","30,000",Buy,24.05.17,교보증권
흑자 구간에서 반등 성공,"1Q24 Review: 흔들림 없는 흑자 행진
HMM의 1Q24 매출액은 11.9% YoY 증가한 2조 3,299억원을 기록했다. 컨테이너 부문의 매출액이 10.5% YoY 증가했다. 운임이 27.3% YoY, 물동량이 14.3% 증가하면서 매출 증가가 나타났다. 전분기 비 운임도 일부(47.9% QoQ) 회복했다. 벌크선 매출액 역시 탱커, 건화물선 매출이 모두 증가하며 호조(18.9% YoY)를 보였다. 영업이익은 4,071억원(32.6% YoY)을 기록했다. 운임 상승이 당초 기대보다는 높지 않아 일부 시장 기대를 밑돌았지만, 5개 분기만에 증익을 기록한 점은 긍정적이다. 컨테이너(영업이익 3,501억원, OPM 18.1%)가 흑자 구간에서 반등에 성공했으며, 벌크선(영업이익 743억원, OPM 21.9%) 역시 흑자 기조를 이어갔다.","18,000",중립,24.05.17,미래에셋증권
미국과 인도 호조로 이익 서프라이즈,"실적이 서프라이즈인데, P/E는 4.4배에 불과
에스엘에 대한 투자의견 BUY와 목표주가 4.5만원을 유지한다. 1분기 실적은 미국/인도 법인의 호조로 시장 기대치를 크게 상회했다. 미국 내 고객사들의 견조한 생산증가로 에스엘 미국의 실적도 탄탄하게 유지되는 가운데, 신규 성장동력으로 인도 법인이 가세하고 있다는 점을 긍정적으로 평가한다. 전기차/SUV/럭셔리 모델향 고가 LED 램프의 비중이 계속 상승 중이고, 2023년 2.03조원의 사상 최대 수주를 기록했으며, BMS 등 신규 아이템도 성장하고 있다. 현재 주가를 기준으로 P/E 4배 중반의 낮은 Valuation은 한단계 높아진 실적을 충분히 반영하지 못하고 있다는 판단이다.","45,000",Buy,24.05.17,하나증권
불닭의 위엄,"1분기 영업이익이 시장 기대치 89% 상회
1분기 연결 매출액과 영업이익이 각각 3,857억원(+57.1% yoy), 801억원(+235.8% yoy)을 기록했다. 컨센서스(3,251억원 / 424억원)와 IBKS 추정치(3,119억원 / 430억원)를 대폭 상회했다. 수출 규모 뿐 아니라 원가 하락 및 원·달러 환율 상승 효과도 기대 이상이었다.","460,000",매수,24.05.17,IBK투자증권
1Q는 삼양의 독무대였다(ft. 글로벌 Peer 실..,"1Q24 Re: 미친 서프라이즈!
1분기 연결 매출액 및 영업이익은 각각 3,857억원(YoY 57.1%), 801억원(YoY 235.8%, OPM 20.8%) 시현. 시장기대치(417억원)을 92% 상회해 1분기 음식료 업종 내 최대 어닝 서프라이즈 기록. 해외 매출 비중이 1Q23 64.3% → 1Q24 74.9%으로 큰 폭 높아지며, 매출 및 이익 모두 호실적 시현. 특히, OPM은 1Q23 9.7% → 1Q24 20.8% 대폭 개선됨. 특히, 해외 라면 Peer 업체의 아쉬운 실적 성장세를 감안한다면, 동사의 1분기 실적은 더욱 돋보인다고 판단. ① 해외 매출액은 2,890억원(YoY 83.0%) 시현. 지역별로 중국 934억원(YoY 186%), 미국 750억원(YoY 223%), 일본 59억원(YoY -5%), 인도네시아 31억원 시현. 특히, 미국에서 에스닉/메인스트림 채널 입점을 확대로 가파른 성장 중. 에스닉 채널 매출 QoQ 35%, 메인스트림 QoQ 44% 성장한 것으로 추산. 메인스트림 입점은 작년 3분기부터 확대되는 중임. 향후 월마트, 코스트코 입점률 증가가 지속 기대됨. ② OPM이 YoY +11.1%p 개선되었는데, 이는 매출원가 YoY -13.7%, 판관비 YoY +2.7%p 기여. QoQ로는 +9.7%p 개선되었는데, 매출원가 QoQ -3.1%p, 판관비 QoQ -6.6%p 하락 기인. 해외 매출이 상대적으로 마진율이 높아 이익 개선을 주도한 것으로 파악. 투입 원가는 4Q23부터 하락해 1Q24에도 YoY, QoQ 하락한 것으로 파악. 경쟁사 대비 제분 자회사(삼양사) 보유로 투입 원가 래깅 타임이 상대적으로 짧았던 것으로 판단. 1분기 주요 원재료는 소맥분 YoY -12%, 유지류 YoY -19% 하락했음. 또한, 광고선전비가 QoQ 63억원 감소하면서 QoQ 이익 개선을 주도함.",,없음,24.05.20,교보증권
반등의 시작,"NDR후기: 신작 출시, 경영 효율화, 주주 환원 정책 관심
엔씨소프트는 5월 16, 17일 국내 주요 기관투자자를 대상으로 NDR(Non-Deal Roadshow)을 진행. 기관투자자들은 1분기 실적을 포함해 신작 게임 출시, 경영 효율화, M&A 전략 및 주주 환원 정책 등에 큰 관심을 보임. 우선 2025년까지 10여종의 게임이 신규 출시와 해외 진출을 통해 실적 개선에 기여할 것으로 전망. 2024년 3개의 신작 출시와 3개의 해외 진출 예상. 6월 배틀크러쉬(난투형 대전 액션) 글로벌 출시, 하반기 BSS(수집형 RPG)와 기존 IP를 활용한 신작 게임이 출시될 예정. 또한 블레이드앤소울2(이하 블소2)의 중국, TL의 북미, 리니지2M의 동남아 출시가 예상. 블소2는 4월부터 사전예약을 받아 현재 100만 명 이상을 기록. 5월 1차 CBT 실시 예정이며 텐센트와 함께 현지화 작업을 통해 중국에 시장 컨센서스 이상의 흥행을 기대. 2025년에는 대작 아이온2(MMORPG), 프로젝트 G(MMO RTS), LLL(Shooting) 등이 출시 예정이기 때문에 신작 모멘텀은 하반기부터 더욱 강화될 것으로 전망 두번째로 인력 구조조정을 포함하여 비용 효율화, 자산 유동화를 포함한 다양한 경영 효율화의 성과를 기대. 단기적으로 인력 조정에 따른 일회성 비용 증가 유발. 그러나 고정비를 낮춰 중장기적으로 신작 출시 후 매출 증가에 따른 영업레버리지 효과가 극대화될 것으로 분석. 한편 마케팅 조직을 일원화하여 비용 및 경영 효율화도 가능할 것으로 기대. 1조원 수준으로 평가되는 기존 사옥들을 매각 혹은 유동화하여 신사옥 공사를 위한 비용 확충 후 재무 부담을 낮출 예정 끝으로 현재 풍부한 유동성은 주주 환원 정책을 강화하고 M&A를 통해 기업 가치를 향상시키는데 적극적으로 사용될 예정. 1분기 말 기준 순현금 약 1.6조원을 포함한 유동화 가능한 자산이 약 3.5조원을 보유. 최근 약 1천억원 규모의 자사주 매입 공시했으며, 향후 M&A를 진행하는데 활용하거나 자사주 비중이 10%를 초과할 경우 단계적 소각을 진행할 것으로 발표","270,000",매수,24.05.20,IBK투자증권
조심스럽게 전망한 수치를 넘어선 실적,"1분기 서프라이즈
이마트 1분기 실적은 시장 및 당사 기대치를 상회하였다. 1분기가 시장의 기대치가 낮았던 영향도 있지만, 당사에서 서프라이즈를 예상했던 수치도 넘어선 긍정적 실적을 달성하였다. 1분기 연결기준 매출액은 7조 2,067억 원(전년동기대비 +1.0%), 영업이익 471억 원으로(전년동기대비 +245.0%)를 기록하였다. 1분기 영업실적 개선이 이루어진 이유는 1) 일부 상품군 구매통합 효과와, 2) 별도 및 주요 종속회사 비용 효율화에 따른 효과가 이어졌고, 3) 집객력 증가에 따른 프라퍼티 수익성 증대, 4) 수익성 중심 경영을 통한 온라인 사업부 적자 축소가 이어졌기 때문이다. 다만, 이마트 24의 경우 저효율 점포 폐점에 따른 일시적 비용 증가로 적자폭은(-92억 원) 확대되었다. 1분기 할인점 기존점 성장률은 1.4%를 기록하였다. 낮은 성장률임에도 비용 효율화 및 상품군 마진 확대로 영업이익은 +3.0% 증가한 510억 원을 기록하였다. 상봉점 및 일부 본사 인력 희망퇴직에 따른 일회성 비용 46억 원을 감안할 경우 긍정적인 수치로 판단한다.","70,000",중립,24.05.20,IBK투자증권
조선소 공정 안정화의 수혜는 기자재업체로,"조선업 공정 안정화 중, 이제 수혜는 기자재 업체 차례
국내 조선소의 2024년 1분기 실적에서 주목할 만한 부분은 2023년 4분기까지 지속 발생하였던 공정 만회 비용이 대폭 감소했다는 점이다. 한화오션 2,200억->180억, HD현대중공업 110억->0원, HD현대미포 250억원->0원으로 감소하였으며 삼성중공업은 공정이 상당부분 안정화되어 이미 발생하고 있지 않았다. 공정 만회 비용, 즉 블록의 사외 배량 및 협력업체 단가 인상 등으로 인해 발생하는 일시적 비용은 조선소 자체의 생산능력 부족으로 인한 공정 지연을 만회하기 위한 불가피한 비용이었다. 이 비용이 감소했다는 것은 곧 조선소 공정의 정상화를 뜻한다. 지난해까지 인력난에 시달리던 조선소는 적극적인 해외 인력 채용으로 필요 인력을 충당하였고 신규 투입된 인력들은 생각보다 빠르게 공정에 도움이 되고 있는 것으로 보인다. 빅3조선소의 이러한 공정 정상화는 곧 조선업 공급망 전반에 낙수효과로 이어질 전망이다. 인력 확보 및 공정 정상화는 빅3조선소>중소형 조선소>기자재 업체로 이어지며 그간 확보한 수주잔고가 빛을 발할 때가 됐다. 한화엔진의 2023년 매출은 8,544억원/영업이익 87억원으로 시장 기대에 미치지 못했는데 이는 동사의 고객인 조선사의 공정 지연으로 엔진 납품이 일부 지연되었던 영향이 있었다. 그러나 조선사의 공정 회복에 따라 동사의 2024년 1분기 실적에는 납품 지연사례가 보고되지 않았으며 이는 곧 매출 2,934억원/영업이익 194억원(OPM 6.6%)으로 예상 이상의 실적으로 이어졌다.","15,000",Buy,24.05.20,하이투자증권
본업과 자회사의 환상적인 콜라보,"1Q24 Review: 매출액 +33.9%, 영업이익 329% YoY
24년 1분기 매출액은 418억원(+33.9% YoY), 영업이익 23억원(329% YoY)을 기록하였다. 수출과 자회사 메가코스의 활약이 전사 실적에 크게 기여하였다.",,없음,24.05.20,유안타증권
